GEO_ID,Geographic_Area_Name,Households,Median_Income_Household,Median_Income_White,Median_Income_Black,Median_Income_AIAN,Median_Income_Asian,Median_Income_NHPI,Percent_Other_Race,Median_Income_Other_Race,Percent_Hispanic_or_Latino,Median_Income_Hispanic_or_Latino,Percent_15_to_24,Median_Income_15_to_24,Percent_25_to_44,Median_Income_25_to_44,Percent_45_to_64,Median_Income_45_to_64,Percent_65_and_over,Median_Income_65_and_Over,Families,Median_Income_Family,Percent_Family_With_Children,Median_Income_Family_with_Children,Percent_Family_no_Children,Median_Income_Family_no_Children,Percent_Married_Couple_Family,Median_Income_Married_Couple_Family,Percent_Female_Householder_no_Spouse,Median_Income_Female_Householder_no_Spouse,Percent_Male_Householder_no_Spouse,Median_Income_Male_Householder_no_Spouse,Nonfamily_Households,Median_Income_Nonfamily_Households,Percent_Nonfamily_Lone_Female,Median_Income_Nonfamily_Lone_Female,Percent_Nonfamily_Lone_Male,Median_Income_Nonfamily_Lone_Male
53001950100,"Census Tract 9501, Adams County, Washington",1099,52589,53170,-,-,-,-,1.5,-,4.8,75313,1.5,-,24.7,71406,42.6,54189,31.3,45577,620,70244,234,71481,386,66667,472,73250,86,30833,62,47955,479,27684,144,20441,252,28889
53001950200,"Census Tract 9502, Adams County, Washington",612,59886,57557,-,35179,-,-,7.7,-,12.7,75655,1.8,-,29.2,75203,46.2,61719,22.7,46806,427,64046,184,63333,243,64375,354,70000,20,43846,53,31442,185,22679,60,-,84,-
53001950301,"Census Tract 9503.01, Adams County, Washington",501,39928,54886,-,-,-,-,45.3,38935,56.3,39183,5,-,26.3,46056,33.3,-,35.3,55085,399,40425,175,40225,224,53409,301,53523,26,-,72,-,102,-,33,-,45,-
53001950302,"Census Tract 9503.02, Adams County, Washington",621,58884,94286,-,-,-,-,48.8,59126,89.5,58172,1.9,-,39,60000,38,58898,21.1,-,534,60294,350,59570,184,113295,433,64875,89,-,12,-,87,21611,18,-,17,-
53001950303,"Census Tract 9503.03, Adams County, Washington",632,50915,52439,-,-,-,-,30.5,-,62.7,50762,0,-,28,24090,53,74931,19,27917,567,51905,332,51402,235,-,383,86339,153,-,31,-,65,28458,35,24583,30,-
53001950400,"Census Tract 9504, Adams County, Washington",876,63750,61964,-,-,-,-,34.2,-,65.8,46250,0,-,52.9,52434,29.2,73292,17.9,43750,690,63558,407,36308,283,71776,406,74292,214,25705,70,-,186,38243,87,-,68,38700
53001950500,"Census Tract 9505, Adams County, Washington",1694,48542,51052,-,-,-,-,27.9,42284,72.7,41655,13.1,48976,44.3,40643,28.7,70060,13.9,46161,1364,47361,843,37574,521,62470,811,67361,409,28984,144,40938,330,-,100,-,179,38523
53003960100,"Census Tract 9601, Asotin County, Washington",1782,73942,70833,-,-,-,-,0,-,1.1,-,1.5,-,17.7,96771,34.5,99063,46.4,57407,1284,86042,401,129917,883,77125,1109,99766,139,34837,36,-,498,41389,212,19871,246,59000
53003960200,"Census Tract 9602, Asotin County, Washington",2014,72988,74177,-,-,-,-,0,-,0,-,2.2,59205,17.5,74238,40.7,114716,39.5,47656,1419,94665,337,94148,1082,95500,1245,100179,153,47240,21,-,595,49683,252,23278,184,53646
53003960300,"Census Tract 9603, Asotin County, Washington",1364,38077,38764,-,-,-,-,1.5,-,7.5,29375,7.3,27539,34.8,53721,37.4,35313,20.6,35886,650,55369,327,54271,323,61055,392,57400,203,45417,55,26467,714,27614,209,20208,238,26731
